"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"2797","Volunteer State Community College","Tennessee","TN","Public","2 Year",NA,4229,4229,16517,16517
"2798","Voorhees College","South Carolina","SC","Private","4 Year",7346,12630,19976,12630,19976
"2799","W.L. Bonner Bible College","South Carolina","SC","Private","4 Year",2576,8868,11444,8868,11444
"2800","Wabash College","Indiana","IN","Private","4 Year",10050,43450,53500,43450,53500
"2801","Wade College","Texas","TX","For Profit","2 Year",NA,16650,16650,16650,16650
"2802","Wagner College","New York","NY","Private","4 Year",14124,47090,61214,47090,61214
"2803","Wake Forest University","North Carolina","NC","Private","4 Year",16032,53322,69354,53322,69354
"2804","Wake Technical Community College","North Carolina","NC","Public","2 Year",NA,2610,2610,8370,8370
"2805","Walden University","Minnesota","MN","For Profit","4 Year",NA,15045,15045,15045,15045
"2806","Waldorf University","Iowa","IA","Private","4 Year",7524,22076,29600,22076,29600
"2807","Walla Walla Community College","Washington","WA","Public","2 Year",NA,5041,5041,6319,6319
"2808","Walla Walla University","Washington","WA","Private","4 Year",4275,28035,32310,28035,32310
"2809","Wallace State Community College at Hanceville","Alabama","AL","Public","2 Year",4600,4740,9340,8610,13210
"2810","Walsh College of Accountancy and Business Administration","Michigan","MI","Private","4 Year",NA,17625,17625,17625,17625
"2811","Walsh University","Ohio","OH","Private","4 Year",10680,29980,40660,29980,40660
"2812","Walters State Community College","Tennessee","TN","Public","2 Year",NA,4428,4428,13194,13194
"2813","Warner Pacific University","Oregon","OR","Private","4 Year",9630,18740,28370,18740,28370
"2814","Warner University","Florida","FL","Private","4 Year",8520,21840,30360,21840,30360
"2815","Warren County Community College","New Jersey","NJ","Public","2 Year",NA,4980,4980,5880,5880
"2816","Warren Wilson College","North Carolina","NC","Private","4 Year",10980,36280,47260,36280,47260
"2817","Wartburg College","Iowa","IA","Private","4 Year",9996,41280,51276,41280,51276
"2818","Washburn University","Kansas","KS","Public","4 Year",8237,8870,17107,19940,28177
"2819","Washington & Jefferson College","Pennsylvania","PA","Private","4 Year",12676,47964,60640,47964,60640
"2820","Washington Adventist University","Maryland","MD","Private","4 Year",9370,23900,33270,23900,33270
"2821","Washington and Lee University","Virginia","VA","Private","4 Year",13925,52455,66380,52455,66380
"2822","Washington College","Maryland","MD","Private","4 Year",12414,46978,59392,46978,59392
"2823","Washington County Community College","Maine","ME","Public","2 Year",5340,3618,8958,6438,11778
"2824","Washington State Community College","Ohio","OH","Public","2 Year",NA,4736,4736,4766,4766
"2825","Washington State University","Washington","WA","Public","4 Year",11398,11581,22979,26365,37763
"2826","Washington University in St. Louis","Missouri","MO","Private","4 Year",16440,53399,69839,53399,69839
"2827","Washtenaw Community College","Michigan","MI","Public","2 Year",NA,3150,3150,6900,6900
"2828","Watkins College of Art, Design & Film","Tennessee","TN","Private","4 Year",6750,24450,31200,24450,31200
"2829","Waubonsee Community College","Illinois","IL","Public","2 Year",NA,4080,4080,11295,11295
"2830","Waukesha County Technical College","Wisconsin","WI","Public","2 Year",NA,4268,4268,6281,6281
"2831","Wayland Baptist University","Texas","TX","Private","4 Year",7992,20070,28062,20070,28062
"2832","Wayne Community College","North Carolina","NC","Public","2 Year",NA,2524,2524,8668,8668
"2833","Wayne County Community College","Michigan","MI","Public","2 Year",NA,4970,4970,6851,6851
"2834","Wayne State College","Nebraska","NE","Public","4 Year",7668,6989,14657,12299,19967
"2835","Wayne State University","Michigan","MI","Public","4 Year",10427,13347,23774,28241,38668
"2836","Waynesburg University","Pennsylvania","PA","Private","4 Year",10164,24820,34984,24820,34984
"2837","Weatherford College","Texas","TX","Public","2 Year",7580,2550,10130,5610,13190
"2838","Webb Institute","New York","NY","Private","4 Year",15050,50175,65225,50175,65225
"2839","Webber International University","Florida","FL","Private","4 Year",9150,26116,35266,26116,35266
"2840","Weber State University","Utah","UT","Public","4 Year",6279,5831,12110,16585,22864
"2841","Webster University","Missouri","MO","Private","4 Year",11050,27900,38950,27900,38950
"2842","Welch College","Tennessee","TN","Private","4 Year",7704,19012,26716,19012,26716
"2843","Wellesley College","Massachusetts","MA","Private","4 Year",16468,53732,70200,53732,70200
"2844","Wells College","New York","NY","Private","4 Year",14100,40700,54800,40700,54800
"2845","Wenatchee Valley College","Washington","WA","Public","2 Year",4020,4467,8487,4903,8923
"2846","Wentworth Institute of Technology","Massachusetts","MA","Private","4 Year",14190,33950,48140,33950,48140
"2847","Wentworth Military Junior College","Missouri","MO","Private","2 Year",6800,20900,27700,20900,27700
"2848","Wesley College","Delaware","DE","Private","4 Year",11717,26406,38123,26406,38123
"2849","Wesleyan College","Georgia","GA","Private","4 Year",9860,23000,32860,23000,32860
"2850","Wesleyan University","Connecticut","CT","Private","4 Year",15060,54914,69974,54914,69974
"2851","West Chester University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9716,10412,20128,21986,31702
"2852","West Georgia Technical College","Georgia","GA","Public","2 Year",NA,3372,3372,6042,6042
"2853","West Hills College: Coalinga","California","CA","Public","2 Year",7977,1380,9357,11130,19107
"2854","West Hills College: Lemoore","California","CA","Public","2 Year",NA,1380,1380,11130,11130
"2855","West Kentucky Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"2856","West Liberty University","West Virginia","WV","Public","4 Year",9406,7730,17136,15670,25076
"2857","West Los Angeles College","California","CA","Public","2 Year",NA,1416,1416,8946,8946
"2858","West Shore Community College","Michigan","MI","Public","2 Year",NA,3476,3476,7286,7286
"2859","West Texas A&M University","Texas","TX","Public","4 Year",7196,8849,16045,10476,17672
"2860","West Valley College","California","CA","Public","2 Year",NA,1418,1418,9158,9158
"2861","West Virginia Northern Community College","West Virginia","WV","Public","2 Year",NA,4197,4197,11493,11493
"2862","West Virginia State University","West Virginia","WV","Public","4 Year",11892,8167,20059,16072,27964
"2863","West Virginia University","West Virginia","WV","Public","4 Year",10918,8856,19774,24950,35868
"2864","West Virginia University at Parkersburg","West Virginia","WV","Public","2 Year",NA,6330,6330,10920,10920
"2865","West Virginia University Institute of Technology","West Virginia","WV","Public","4 Year",11390,7464,18854,18648,30038
"2866","West Virginia Wesleyan College","West Virginia","WV","Private","4 Year",8856,31640,40496,31640,40496
"2867","Westchester Community College","New York","NY","Public","2 Year",NA,4852,4852,12242,12242
"2868","Western Carolina University","North Carolina","NC","Public","4 Year",9682,4220,13902,8220,17902
"2869","Western Connecticut State University","Connecticut","CT","Public","4 Year",13072,10819,23891,22059,35131
"2870","Western Dakota Technical Institute","South Dakota","SD","Public","2 Year",NA,7335,7335,7335,7335
"2871","Western Governors University","Utah","UT","Private","4 Year",NA,6670,6670,6670,6670
"2872","Western Illinois University","Illinois","IL","Public","4 Year",9630,11267,20897,11267,20897
"2873","Western Iowa Tech Community College","Iowa","IA","Public","2 Year",5650,5340,10990,5370,11020
"2874","Western Kentucky University","Kentucky","KY","Public","4 Year",8343,10602,18945,26496,34839
"2875","Western Michigan University","Michigan","MI","Public","4 Year",10143,12483,22626,15373,25516
"2876","Western Nebraska Community College","Nebraska","NE","Public","2 Year",6766,2820,9586,2928,9694
"2877","Western Nevada College","Nevada","NV","Public","2 Year",NA,3158,3158,10070,10070
"2878","Western New England University","Massachusetts","MA","Private","4 Year",13590,36804,50394,36804,50394
"2879","Western New Mexico University","New Mexico","NM","Public","4 Year",9136,6824,15960,15231,24367
"2880","Western Oklahoma State College","Oklahoma","OK","Public","2 Year",5250,4250,9500,8605,13855
"2881","Western Oregon University","Oregon","OR","Public","4 Year",10415,9540,19955,26415,36830
"2882","Western Piedmont Community College","North Carolina","NC","Public","2 Year",NA,2418,2418,8178,8178
"2883","Western State Colorado University","Colorado","CO","Public","4 Year",9635,10114,19749,21586,31221
"2884","Western Technical College","Wisconsin","WI","Public","2 Year",6584,4408,10992,6373,12957
"2885","Western Texas College","Texas","TX","Public","2 Year",5293,3840,9133,6210,11503
"2886","Western Washington University","Washington","WA","Public","4 Year",11466,8132,19598,23544,35010
"2887","Western Wyoming Community College","Wyoming","WY","Public","2 Year",5740,2712,8452,7224,12964
"2888","Westfield State University","Massachusetts","MA","Public","4 Year",10948,10429,21377,16509,27457
"2889","Westminster College","Utah","UT","Private","4 Year",9524,34300,43824,34300,43824
"2890","Westminster College","Pennsylvania","PA","Private","4 Year",11130,36806,47936,36806,47936
"2891","Westminster College","Missouri","MO","Private","4 Year",10140,27600,37740,27600,37740
"2892","Westmont College","California","CA","Private","4 Year",14296,45304,59600,45304,59600
"2893","Westmoreland County Community College","Pennsylvania","PA","Public","2 Year",NA,5520,5520,13500,13500
"2894","Wharton County Junior College","Texas","TX","Public","2 Year",4200,3030,7230,6120,10320
"2895","Whatcom Community College","Washington","WA","Public","2 Year",NA,4513,4513,10044,10044
"2896","Wheaton College","Massachusetts","MA","Private","4 Year",13424,52626,66050,52626,66050
"2897","Wheaton College","Illinois","IL","Private","4 Year",10180,36420,46600,36420,46600
"2898","Wheeling Jesuit University","West Virginia","WV","Private","4 Year",9900,29290,39190,29290,39190
"2899","White Earth Tribal and Community College","Minnesota","MN","Private","2 Year",NA,3830,3830,3830,3830
"2900","White Mountains Community College","New Hampshire","NH","Public","2 Year",NA,7050,7050,15300,15300
"2901","Whitman College","Washington","WA","Private","4 Year",13174,51764,64938,51764,64938
"2902","Whittier College","California","CA","Private","4 Year",14410,48086,62496,48086,62496
"2903","Whitworth University","Washington","WA","Private","4 Year",11496,43640,55136,43640,55136
"2904","Wichita Area Technical College","Kansas","KS","Public","2 Year",NA,3210,3210,3630,3630
"2905","Wichita State University","Kansas","KS","Public","4 Year",11252,8271,19523,17452,28704
"2906","Widener University","Pennsylvania","PA","Private","4 Year",14446,45948,60394,45948,60394
"2907","Wilberforce University","Ohio","OH","Private","4 Year",7000,13250,20250,13250,20250
"2908","Wiley College","Texas","TX","Private","4 Year",7084,13152,20236,13152,20236
"2909","Wilkes Community College","North Carolina","NC","Public","2 Year",NA,2420,2420,8180,8180
"2910","Wilkes University","Pennsylvania","PA","Private","4 Year",14682,36194,50876,36194,50876
"2911","Willamette University","Oregon","OR","Private","4 Year",12440,50074,62514,50074,62514
"2912","William Carey University","Mississippi","MS","Private","4 Year",6810,12600,19410,12600,19410
"2913","William Jessup University","California","CA","Private","4 Year",11320,32950,44270,32950,44270
"2914","William Jewell College","Missouri","MO","Private","4 Year",9930,34400,44330,34400,44330
"2915","William Paterson University of New Jersey","New Jersey","NJ","Public","4 Year",11445,13060,24505,21260,32705
"2916","William Peace University","North Carolina","NC","Private","4 Year",11100,30500,41600,30500,41600
"2917","William Penn University","Iowa","IA","Private","4 Year",6952,25600,32552,25600,32552
"2918","William Woods University","Missouri","MO","Private","4 Year",9700,24110,33810,24110,33810
"2919","Williams Baptist University","Arkansas","AR","Private","4 Year",8070,17320,25390,17320,25390
"2920","Williams College","Massachusetts","MA","Private","4 Year",14500,55450,69950,55450,69950
"2921","Williamsburg Technical College","South Carolina","SC","Public","2 Year",NA,4368,4368,8280,8280
"2922","Williamson College","Tennessee","TN","Private","4 Year",NA,13825,13825,13825,13825
"2923","Williston State College","North Dakota","ND","Public","2 Year",7950,5304,13254,5304,13254
"2924","Wilmington College","Ohio","OH","Private","4 Year",9925,25675,35600,25675,35600
"2925","Wilmington University","Delaware","DE","Private","4 Year",NA,11210,11210,11210,11210
"2926","Wilson College","Pennsylvania","PA","Private","4 Year",11594,24595,36189,24595,36189
"2927","Wilson Community College","North Carolina","NC","Public","2 Year",NA,2415,2415,8175,8175
"2928","Wingate University","North Carolina","NC","Private","4 Year",10780,33166,43946,33166,43946
"2929","Winona State University","Minnesota","MN","Public","4 Year",9010,9425,18435,15348,24358
"2930","Winston-Salem State University","North Carolina","NC","Public","4 Year",9550,5814,15364,16061,25611
"2931","Winthrop University","South Carolina","SC","Public","4 Year",9312,15590,24902,29846,39158
"2932","Wiregrass Georgia Technical College","Georgia","GA","Public","2 Year",NA,3328,3328,5998,5998
"2933","Wisconsin Indianhead Technical College","Wisconsin","WI","Public","2 Year",7408,4404,11812,6450,13858
"2934","Wisconsin Lutheran College","Wisconsin","WI","Private","4 Year",10190,29725,39915,29725,39915
"2935","Wittenberg University","Ohio","OH","Private","4 Year",10356,39500,49856,39500,49856
"2936","Wofford College","South Carolina","SC","Private","4 Year",12685,43845,56530,43845,56530
"2937","Woodbury University","California","CA","Private","4 Year",11920,39855,51775,39855,51775
"2938","Woodland Community College","California","CA","Public","2 Year",NA,1400,1400,8420,8420
"2939","Wor-Wic Community College","Maryland","MD","Public","2 Year",NA,4050,4050,9630,9630
